log_id,text,cluster
252,aiohttp/web_log.py                             103      0     16      0   100%,3
252,aiohttp/web_middlewares.py                      59      0     20      0   100%,3
252,aiohttp/web_protocol.py                        371     18    122     20    92%,3
252,aiohttp/web_request.py                         442      6    130      4    98%,3
252,aiohttp/web_response.py                        489      2    224      4    99%,3
252,aiohttp/web_routedef.py                        100      0      6      0   100%,3
252,aiohttp/web_runner.py                          211     15     36      3    92%,3
252,aiohttp/web_server.py                           42      0      6      0   100%,3
252,aiohttp/web_urldispatcher.py                   743      9    154      6    98%,3
252,aiohttp/web_ws.py                              391     12    122      9    96%,3
252,aiohttp/worker.py                              126     19     30      3    83%,3
252,tests/test_base_protocol.py                    200      0      0      0   100%,3
252,tests/test_benchmarks_client.py                187    187     24      0     0%,3
252,tests/test_benchmarks_client_request.py         56     56      2      0     0%,3
252,tests/test_benchmarks_client_ws.py              66     66     12      0     0%,3
252,tests/test_benchmarks_cookiejar.py              14     14      0      0     0%,3
252,tests/test_benchmarks_http_websocket.py         71     71     12      0     0%,3
252,tests/test_benchmarks_http_writer.py            11     11      2      0     0%,3
252,tests/test_benchmarks_web_fileresponse.py       63     63      6      0     0%,3
252,tests/test_benchmarks_web_middleware.py         25     25      4      0     0%,3
252,tests/test_benchmarks_web_urldispatcher.py     308    308     60      0     0%,3
252,tests/test_circular_imports.py                  29      0      6      0   100%,3
252,tests/test_classbasedview.py                    39      2      0      0    95%,3
252,tests/test_client_connection.py                 94      0      2      1    99%,3
252,tests/test_client_exceptions.py                199      0     14      0   100%,3
252,tests/test_client_fingerprint.py                59      0      0      0   100%,3
252,tests/test_client_functional.py               2653    214     64      9    92%,3
252,tests/test_client_proto.py                     144      0      6      0   100%,3
252,tests/test_client_request.py                   837      6     20      0    99%,3
252,tests/test_client_response.py                  490      5      0      0    99%,3
252,tests/test_client_session.py                   605      7     16      0    99%,3
252,tests/test_client_ws.py                        489      0     34      0   100%,3
252,tests/test_client_ws_functional.py             871     25     28      6    97%,3
252,tests/test_compression_utils.py                 15      0      0      0   100%,3
252,tests/test_connector.py                       2128     89     68      7    95%,3
252,tests/test_cookiejar.py                        467      0     32      2    99%,3
252,tests/test_formdata.py                          86      0      6      0   100%,3
252,tests/test_helpers.py                          454     10     20      6    97%,3
252,tests/test_http_exceptions.py                  109      0     10      0   100%,3
252,tests/test_http_parser.py                     1106     50     14      3    95%,3
252,tests/test_http_writer.py                      331      0      8      0   100%,3
252,tests/test_imports.py                           40     17      6      0    50%,3
252,tests/test_loop.py                              36      2      0      0    94%,3
252,tests/test_multipart.py                        829      0     30      1    99%,3
252,tests/test_multipart_helpers.py                446     19      0      0    96%,3
252,tests/test_payload.py                           93      3      0      0    97%,3
252,tests/test_proxy.py                            325      0      6      0   100%,3
252,tests/test_proxy_functional.py                 462    462     12      0     0%,3
252,tests/test_pytest_plugin.py                     27      0      0      0   100%,3
252,tests/test_resolver.py                         231     90      4      0    62%,3
252,tests/test_route_def.py                        210     20      0      0    90%,3
252,tests/test_run_app.py                          577     11     24     10    97%,3
252,tests/test_streams.py                         1078      0     34      0   100%,3
252,tests/test_tcp_helpers.py                       52      2      2      1    94%,3
252,tests/test_test_utils.py                       274      4     14      5    97%,3
252,tests/test_tracing.py                           48      0      0      0   100%,3
252,tests/test_urldispatch.py                      878     12     22      1    99%,3
252,tests/test_web_app.py                          453      4      6      0    99%,3
252,tests/test_web_cli.py                           94      0      0      0   100%,3
252,tests/test_web_exceptions.py                   179      0     18      0   100%,3
252,tests/test_web_functional.py                  1625     34     38      3    98%,3
252,tests/test_web_log.py                          132      2      0      0    98%,3
252,tests/test_web_middleware.py                   284      3     16      2    98%,3
252,tests/test_web_request.py                      513      0      8      0   100%,3
252,tests/test_web_request_handler.py               42      1      0      0    98%,3
252,tests/test_web_response.py                     920      3      6      1    99%,3
252,tests/test_web_runner.py                       151      9      2      0    94%,3
252,tests/test_web_sendfile.py                      84      0      0      0   100%,3
252,tests/test_web_sendfile_functional.py          674     23     14      0    96%,3
252,tests/test_web_server.py                       250      1      2      0    99%,3
252,tests/test_web_urldispatcher.py                525     19     22      1    96%,3
252,tests/test_web_websocket.py                    444      2      4      0    99%,3
252,tests/test_web_websocket_functional.py         863     51     26      3    94%,3
252,tests/test_websocket_data_queue.py              23      0      2      0   100%,3
252,tests/test_websocket_handshake.py              152      0     12      0   100%,3
252,tests/test_websocket_parser.py                 365     16     12      1    95%,3
252,tests/test_websocket_writer.py                  97      0      4      0   100%,3
252,tests/test_worker.py                           187     27      2      1    85%,3
252,TOTAL                                        37224   2398   4200    237    93%,3
252,============================= slowest 10 durations =============================,1
252,=========================== short test summary info ============================,1
252,SKIPPED [1] tests/test_connector.py:3126: Proactor Event loop present only in Windows,3
252,SKIPPED [1] tests/test_connector.py:3134: Proactor Event loop present only in Windows,3
252,SKIPPED [1] tests/test_connector.py:3145: Proactor Event loop present only in Windows,3
252,SKIPPED [1] tests/test_http_parser.py:264: C based HTTP parser not available,3
252,SKIPPED [1] tests/test_connector.py:3343: Proactor Event loop present only in Windows,3
252,SKIPPED [1] tests/test_http_parser.py:1593: C based HTTP parser not available,3
252,SKIPPED [1] tests/test_web_functional.py:2161: C based HTTP parser not available,3
252,XFAIL tests/test_client_functional.py::test_error_in_performing_request[pyloop] - reason: trustme is not supported,3
252,XFAIL tests/test_client_functional.py::test_aiohttp_request_ssl[pyloop] - reason: trustme is not supported,3
252,XFAIL tests/test_client_functional.py::test_ssl_client_alpn[pyloop] - reason: trustme is not supported,3
252,XFAIL tests/test_client_functional.py::test_tcp_connector_fingerprint_ok[pyloop] - reason: trustme is not supported,3
252,XFAIL tests/test_client_functional.py::test_tcp_connector_fingerprint_fail[pyloop] - reason: trustme is not supported,3
252,XFAIL tests/test_client_functional.py::test_drop_auth_on_redirect_to_other_host[pyloop-http -> https] - reason: trustme is not supported,3
252,XFAIL tests/test_client_functional.py::test_drop_auth_on_redirect_to_other_host[pyloop-https -> http] - reason: trustme is not supported,3
252,XFAIL tests/test_web_sendfile_functional.py::test_static_file_ssl[pyloop] - reason: trustme is not supported,3
252,"=========== 1 failed, 3067 passed, 36 skipped, 26 xfailed in 48.73s ============",3
252,error: Bad exit status from /usr/src/tmp/rpm-tmp.50724 (%check),3
252,Bad exit status from /usr/src/tmp/rpm-tmp.50724 (%check),3
252,Command exited with non-zero status 1,3
252,hsh-rebuild: rebuild of `python3-module-aiohttp-3.11.13-alt1.src.rpm' failed.,3
252,Command exited with non-zero status 1,3
253,Building for target x86_64,3
253,Building for target x86_64,3
253,+ umask 022,3
253,+ /usr/bin/patch -p1,3
253,Hunk #1 succeeded at 1304 (offset 2 lines).,3
253,+ exit 0,3
253,+ umask 022,3
253,+ exit 0,3
253,+ umask 022,3
253,Checking contents of files in /usr/src/tmp/python3-module-argcomplete-buildroot/ (default),3
253,"Splitting links to aliased files under /{,s}bin in /usr/src/tmp/python3-module-argcomplete-buildroot",3
253,+ umask 022,3
253,+ export NO_INTERNET=YES,3
253,+ NO_INTERNET=YES,3
253,test.py: error: too few arguments,3
253,ok,3
253,test.py foo: error: too few arguments,3
253,ok,3
253,test_exclamation_in_double_quotes (__main__.TestBash.test_exclamation_in_double_quotes) ... expected failure,3
253,test_parse_special_characters_dollar (__main__.TestBash.test_parse_special_characters_dollar) ... expected failure,3
253,test_exclamation_in_double_quotes (__main__.TestBashGlobal.test_exclamation_in_double_quotes) ... expected failure,3
253,test_parse_special_characters_dollar (__main__.TestBashGlobal.test_parse_special_characters_dollar) ... FAIL,3
253,Test completing a script that cannot be run directly. ... ok,3
253,test_escaped_special_in_double_quotes (__main__.TestSplitLine.test_escaped_special_in_double_quotes) ... expected failure,3
253,Test completing a script that cannot be run directly. ... ok,3
253,Test completing a script that cannot be run directly. ... ok,3
253,======================================================================,1
253,Traceback (most recent call last):,3
253,"File ""/usr/src/RPM/BUILD/python3-module-argcomplete-3.6.2/./test/test.py"", line 1163, in tearDown",3
253,"AssertionError: (<class 'pexpect.exceptions.EOF'>, <class 'OSError'>) not raised",3
253,Ran 189 tests in 130.278s,7
253,"FAILED (failures=1, skipped=14, expected failures=4)",3
253,error: Bad exit status from /usr/src/tmp/rpm-tmp.5146 (%check),3
253,Bad exit status from /usr/src/tmp/rpm-tmp.5146 (%check),3
253,Command exited with non-zero status 1,3
253,hsh-rebuild: rebuild of `python3-module-argcomplete-3.6.2-alt1.src.rpm' failed.,3
253,Command exited with non-zero status 1,3
254,"<86>May 16 05:13:10 useradd[892055]: failed adding user 'postgres', exit code: 9",3
254,<86>May 16 05:13:12 groupadd[896470]: group added to /etc/gshadow: name=dialout,3
254,Building for target x86_64,3
254,Building for target x86_64,3
254,+ umask 022,3
254,+ /usr/bin/patch -p1,3
254,+ /usr/bin/python3 -m pyproject_installer deps --depsconfig /usr/src/RPM/SOURCES/pyproject_deps.json show pep518,3
254,+ /usr/bin/python3 -m pyproject_installer deps --depsconfig /usr/src/RPM/SOURCES/pyproject_deps.json show pep517,3
254,+ exit 0,3
254,+ umask 022,3
254,!!,3
254,********************************************************************************,3
254,or your builds will no longer be supported.,3
254,********************************************************************************,3
254,!!,3
254,"corresp(dist, value, root_dir)",3
254,!!,3
254,********************************************************************************,3
254,********************************************************************************,3
254,!!,3
254,dist._finalize_license_expression(),3
254,!!,3
254,********************************************************************************,3
254,********************************************************************************,3
254,!!,3
254,|                                                                                                 ^,3
254,4256 |         char *number = (char*) PyMem_Malloc((length + 1) * sizeof(char));,3
254,|                                                          ^,3
254,110197 |         char *number = (char*) PyMem_Malloc((digits + 1) * sizeof(char));,3
254,|                                                          ^,3
254,+ exit 0,3
254,+ umask 022,3
254,Checking contents of files in /usr/src/tmp/python3-module-asyncpg-buildroot/ (default),3
254,Compressing files in /usr/src/tmp/python3-module-asyncpg-buildroot (auto),3
254,"Splitting links to aliased files under /{,s}bin in /usr/src/tmp/python3-module-asyncpg-buildroot",3
254,+ umask 022,3
254,+ export NO_INTERNET=YES,3
254,+ NO_INTERNET=YES,3
254,============================= test session starts ==============================,1
254,collecting ... collected 313 items / 3 deselected / 310 selected,3
254,tests/test__environment.py::TestEnvironment::test_environment_asyncpg_version SKIPPED,3
254,tests/test__environment.py::TestEnvironment::test_environment_server_version SKIPPED,3
254,tests/test_cache_invalidation.py::TestCacheInvalidation::test_prepare_cache_invalidation_in_pool PASSED,3
254,tests/test_cache_invalidation.py::TestCacheInvalidation::test_prepare_cache_invalidation_silent PASSED,3
254,tests/test_cache_invalidation.py::TestCacheInvalidation::test_type_cache_invalidation_in_cancelled_transaction PASSED,3
254,tests/test_cache_invalidation.py::TestCacheInvalidation::test_type_cache_invalidation_in_pool PASSED,3
254,tests/test_codecs.py::TestCodecs::test_custom_codec_composite_tuple PASSED,3
254,tests/test_codecs.py::TestCodecs::test_custom_codec_override_tuple PASSED,3
254,tests/test_codecs.py::TestCodecs::test_unhandled_type_fallback PASSED,3
254,tests/test_codecs.py::TestCodecs::test_unknown_type_text_fallback PASSED,3
254,tests/test_codecs.py::TestCodecs::test_void PASSED,3
254,tests/test_connect.py::TestAuthentication::test_auth_password_cleartext_callable_coroutine PASSED,3
254,tests/test_connect.py::TestSspiAuthentication::test_auth_sspi SKIPPED,3
254,tests/test_connect.py::TestSSLConnection::test_executemany_uvloop_ssl_issue_700 PASSED,3
254,tests/test_connect.py::TestSSLConnection::test_ssl_connection_pool PASSED,3
254,tests/test_connect.py::TestClientSSLConnection::test_ssl_connection_client_auth_custom_context PASSED,3
254,tests/test_connect.py::TestNoSSLConnection::test_nossl_connection_pool PASSED,3
254,tests/test_connect.py::TestNoSSLConnection::test_nossl_connection_sslmode PASSED,3
254,tests/test_copy.py::TestCopyFrom::test_copy_from_query_cancellation_on_sink_error PASSED,3
254,tests/test_copy.py::TestCopyFrom::test_copy_from_query_to_sink PASSED,3
254,tests/test_copy.py::TestCopyTo::test_copy_to_table_timeout PASSED,3
254,tests/test_exceptions.py::TestExceptions::test_exceptions_exported PASSED,3
254,tests/test_execute.py::TestExecuteScript::test_execute_script_1 PASSED,3
254,tests/test_execute.py::TestExecuteScript::test_execute_script_check_transactionality PASSED,3
254,tests/test_execute.py::TestExecuteScript::test_execute_script_interrupted_close PASSED,3
254,tests/test_execute.py::TestExecuteScript::test_execute_script_interrupted_terminate PASSED,3
254,tests/test_execute.py::TestExecuteMany::test_executemany_bad_input PASSED,3
254,tests/test_execute.py::TestExecuteMany::test_executemany_client_failure_in_transaction PASSED,3
254,tests/test_execute.py::TestExecuteMany::test_executemany_client_server_failure_conflict PASSED,3
254,tests/test_execute.py::TestExecuteMany::test_executemany_error_in_input_gen PASSED,3
254,tests/test_execute.py::TestExecuteMany::test_executemany_server_failure PASSED,3
254,tests/test_execute.py::TestExecuteMany::test_executemany_timeout PASSED,3
254,tests/test_execute.py::TestExecuteMany::test_executemany_timeout_flow_control PASSED,3
254,tests/test_pool.py::TestPool::test_pool_no_acquire_deadlock PASSED,3
254,tests/test_prepare.py::TestPrepare::test_prepare_05_unknownoid PASSED,3
254,tests/test_prepare.py::TestPrepare::test_prepare_09_raise_error PASSED,3
254,tests/test_prepare.py::TestPrepare::test_prepare_15_stmt_gc_cache_disabled PASSED,3
254,tests/test_prepare.py::TestPrepare::test_prepare_22_empty PASSED,3
254,tests/test_prepare.py::TestPrepare::test_prepare_statement_invalid PASSED,3
254,tests/test_record.py::TestRecord::test_record_empty PASSED,3
254,tests/test_record.py::TestRecord::test_record_slice PASSED,3
254,tests/test_timeout.py::TestTimeout::test_invalid_timeout PASSED,3
254,tests/test_transaction.py::TestTransaction::test_transaction_nested PASSED,3
254,=================================== FAILURES ===================================,1
254,Traceback (most recent call last):,3
254,"File ""/usr/lib64/python3.12/unittest/case.py"", line 58, in testPartExecutor",3
254,yield,3
254,"File ""/usr/lib64/python3.12/unittest/case.py"", line 634, in run",3
254,"File ""/usr/lib64/python3.12/unittest/case.py"", line 589, in _callTestMethod",3
254,if method() is not None:,3
254,^^^^^^^^,3
254,self.run_testcase(testcase),3
254,"File ""/usr/src/RPM/BUILD/python3-module-asyncpg-0.30.0/tests/test_connect.py"", line 1154, in run_testcase",3
254,parsed = urllib.parse.urlparse(dsn),3
