log_id,cluster,error_text
4,0,<86>May 17 03:22:30 groupadd[95418]: group added to /etc/gshadow: name=rooter
4,0,Building for target x86_64
4,0,Building for target x86_64
4,0,Hunk #1 succeeded at 793 (offset 45 lines).
4,0,Hunk #2 succeeded at 812 (offset 45 lines).
4,0,Hunk #1 succeeded at 1372 (offset 17 lines).
4,0,Hunk #1 succeeded at 500 (offset 3 lines).
4,0,Hunk #2 succeeded at 588 (offset 4 lines).
4,0,Hunk #3 succeeded at 3133 (offset 15 lines).
4,0,Hunk #4 succeeded at 3272 (offset 15 lines).
4,0,Hunk #5 succeeded at 19537 (offset 52 lines).
4,0,+ find . -name '*.so' -print -delete
4,0,In file included from DisplayCAL/RealDisplaySizeMM.c:33:
4,0,"2697 |     unsigned long*      /* bytes_after_return */,"
4,0,"1364 |               (value = PyString_FromStringAndSize(dp[i]->edid, dp[i]->edid_len)) != NULL) {"
4,0,"In file included from /usr/include/python3.12/Python.h:50,"
4,0,Checking contents of files in /usr/src/tmp/displaycal-buildroot/ (default)
4,0,Compressing files in /usr/src/tmp/displaycal-buildroot (auto)
4,0,"Splitting links to aliased files under /{,s}bin in /usr/src/tmp/displaycal-buildroot"
4,0,error: No such file or directory: /usr/src/tmp/displaycal-buildroot/usr/lib64/python3/site-packages/DisplayCAL-3.9.14.dist-info
4,0,Command exited with non-zero status 1
4,0,hsh-rebuild: rebuild of `displaycal-3.9.14-alt1.src.rpm' failed.
4,0,Command exited with non-zero status 1
5,0,"/usr/src/in/srpm/java3d-1.5.2-alt6_15jpp8.src.rpm: bad symbols in the license tag: ,"
5,0,E: Couldn't find package jogl
5,0,hsh-install: Failed to calculate package file list.
5,0,hsh-install: Failed to generate package file list.
5,0,Command exited with non-zero status 1
6,0,<86>May 17 02:39:12 groupadd[203230]: group added to /etc/gshadow: name=dialout
6,0,Building for target x86_64
6,0,Building for target x86_64
6,0,Problem opening /proc/meminfo
6,0,CMake Error at CMakeLists.txt:1 (cmake_minimum_required):
6,0,Compatibility with CMake < 3.5 has been removed from CMake.
6,0,to tell CMake that the project requires at least <min> but has been updated
6,0,"-- Configuring incomplete, errors occurred!"
6,0,error: Bad exit status from /usr/src/tmp/rpm-tmp.14533 (%build)
6,0,Bad exit status from /usr/src/tmp/rpm-tmp.14533 (%build)
6,0,Command exited with non-zero status 1
6,0,hsh-rebuild: rebuild of `fcitx5-sayura-5.1.0-alt1_1.src.rpm' failed.
6,0,Command exited with non-zero status 1
7,0,<86>May 17 05:02:38 groupadd[665616]: group added to /etc/gshadow: name=rooter
7,0,<86>May 17 05:02:38 userdel[665748]: removed shadow group 'builder' owned by 'builder'
7,0,<86>May 17 05:03:02 groupadd[725610]: group added to /etc/gshadow: name=dialout
7,0,<86>May 17 05:03:02 groupadd[725678]: group added to /etc/gshadow: name=render
7,0,Building for target x86_64
7,0,Building for target x86_64
7,0,removed directory 'lib/third_party/capstone/include'
7,0,removed directory 'lib/third_party/capstone/contrib/objdump'
7,0,removed directory 'lib/third_party/capstone/contrib/m68k_instruction_tbl_gen'
7,0,removed directory 'lib/third_party/capstone/contrib'
7,0,removed directory 'lib/third_party/capstone'
7,0,removed directory 'lib/third_party/fmt/test/compile-error-test'
7,0,removed directory 'lib/third_party/yara'
7,0,removed directory 'lib/third_party/nlohmann_json/include'
7,0,Problem opening /proc/meminfo
7,0,Problem opening /proc/meminfo
7,0,-- Detecting C compiler ABI info - done
7,0,Problem opening /proc/meminfo
7,0,-- Detecting CXX compiler ABI info - done
7,0,-- Check for working CXX compiler: /usr/bin/c++ - skipped
7,0,Problem opening /proc/meminfo
7,0,Problem opening /proc/meminfo
7,0,-- Looking for sys/types.h - found
7,0,-- Looking for stdint.h
7,0,Problem opening /proc/meminfo
7,0,-- Looking for stdint.h - found
7,0,-- Looking for stddef.h
7,0,Problem opening /proc/meminfo
7,0,-- Looking for stddef.h - found
7,0,Problem opening /proc/meminfo
7,0,-- Check size of __uint128_t - done
